fascicule,n_articles,tokens_prompt,tokens_iptc,tokens_article,tokens_total,cout_prompt_sans_cache,cout_prompt_avec_cache,cout_iptc_sans_cache,cout_iptc_avec_cache,cout_article,cout_completion_min,cout_completion,cout_completion_max,cout_total_sans_cache_min,cout_total_sans_cache,cout_total_sans_cache_max,cout_total_avec_cache_min,cout_total_avec_cache,cout_total_avec_cache_max
4773935,30,4050,263250,20427,287727,0.00204,0.00102,0.13161,0.066,0.010216,0.00069,0.00141,0.00246,0.144536,0.145252,0.146338,0.077902,0.078622,0.079702
4773936,43,5805,377325,16749,399879,0.002924,0.001462,0.188641,0.0946,0.008374,0.000989,0.002021,0.003526,0.2009,0.201927,0.203484,0.105392,0.106424,0.107972
4773937,31,4185,272025,21004,297214,0.002108,0.001054,0.135997,0.0682,0.0105,0.000713,0.001457,0.002542,0.149301,0.15004,0.151164,0.080445,0.081189,0.082305
4782897,51,6885,447525,49601,504011,0.003468,0.001734,0.223737,0.1122,0.0248,0.001173,0.002397,0.004182,0.253141,0.254363,0.256206,0.139868,0.141092,0.142928
4785180,69,9315,605475,45774,660564,0.004692,0.002346,0.302703,0.1518,0.022883,0.001587,0.003243,0.005658,0.331823,0.333474,0.335974,0.178569,0.180225,0.182709
4785732,66,8910,579150,48150,636210,0.004488,0.002244,0.289542,0.1452,0.024076,0.001518,0.003102,0.005412,0.319575,0.321158,0.323538,0.172988,0.174572,0.176948
4791550,86,11610,754650,62699,828959,0.005848,0.002924,0.377282,0.1892,0.031348,0.001978,0.004042,0.007052,0.416399,0.418456,0.421565,0.225385,0.227449,0.230545
6703872,73,9855,640575,45949,696379,0.004964,0.002482,0.320251,0.1606,0.022973,0.001679,0.003431,0.005986,0.349817,0.351564,0.354202,0.187679,0.189431,0.192059
6705781,79,10665,693225,43500,747390,0.005372,0.002686,0.346573,0.1738,0.021753,0.001817,0.003713,0.006478,0.375459,0.37735,0.380206,0.199995,0.201891,0.204735
6706398,91,12285,798525,33344,844154,0.006188,0.003094,0.399217,0.2002,0.016672,0.002093,0.004277,0.007462,0.424105,0.426288,0.429572,0.221993,0.224177,0.227453
6710420,53,7155,465075,23061,495291,0.003604,0.001802,0.232511,0.1166,0.011526,0.001219,0.002491,0.004346,0.24883,0.250095,0.252017,0.13111,0.132382,0.13429
6710457,39,5265,342225,28384,375874,0.002652,0.001326,0.171093,0.0858,0.014189,0.000897,0.001833,0.003198,0.188804,0.189738,0.191148,0.102183,0.103119,0.104523
6710458,52,7020,456300,26807,490127,0.003536,0.001768,0.228124,0.1144,0.013403,0.001196,0.002444,0.004264,0.246226,0.247472,0.24935,0.130732,0.13198,0.133852
6711097,175,23625,1535625,42621,1601871,0.0119,0.00595,0.767725,0.385,0.021309,0.004025,0.008225,0.01435,0.804845,0.809032,0.815357,0.416157,0.420357,0.426657
6716695,177,23895,1553175,38558,1615628,0.012036,0.006018,0.776499,0.3894,0.019276,0.004071,0.008319,0.014514,0.811762,0.815994,0.822404,0.418629,0.422877,0.429249
